2022-05-07 22:44:43,254 [MainThread  ] [INFO ]  Evaluations: 2. fitness: [103803201.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:30:00', '08:40:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,794 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,854 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,881 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:50:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,896 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:50:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,907 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [108940390.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '17:10:00', '19:00:00', '20:30:00', '25:00:00']})
2022-05-07 22:44:43,914 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [108082323.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:43,935 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,045 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [106616927.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,049 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [108051538.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:10:00', '19:00:00', '20:20:00', '25:00:00']})
2022-05-07 22:44:44,067 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [108853324.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,097 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:44,122 [MainThread  ] [INFO ]  Evaluations: 3. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
